Type,File,Size,Result,Finish Time,Duration,Modification Date,Error Message,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\MSP360-AWS-B2-CHECKLIST.md,3230,Success,2026-08-13 09:38:48,201,2026-08-11 22:45:26,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\PACKAGE-SHA256SUMS,3150,Success,2026-08-13 09:38:48,201,2026-08-11 22:51:52,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\PACKAGE-SHA256SUMS.sha256,85,Success,2026-08-13 09:38:48,201,2026-08-11 22:51:52,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\README-FIRST.md,1707,Success,2026-08-13 09:38:48,201,2026-08-11 22:42:26,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\UPLOAD-ATTESTATION.template.json,882,Success,2026-08-13 09:38:48,201,2026-08-11 22:42:26,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\VERIFY-PRESERVATION.ps1,2271,Success,2026-08-13 09:38:48,201,2026-08-11 22:51:52,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\VERIFY-PRESERVATION.sh,499,Success,2026-08-13 09:38:48,201,2026-08-11 22:45:16,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\artifacts\anchor-public.pem,113,Success,2026-08-13 09:38:48,8,2026-08-11 12:42:38,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\artifacts\payload-9bbad47-r18.tar.gz,27933574,Success,2026-08-13 09:38:48,8,2026-08-11 20:31:18,,
Restore,D:\Filiolae AWS Restore Proof 8-13-26\Filiolae Evidence\Filiolae-r18-preservation\artifacts\payload-9bbad47-r18.tar.gz.sha256,93,Success,2026-08-13 09:38:48,8,2026-08-11 20:31:18,,
