Type,File,Size,Result,Finish Time,Duration,Modification Date,Error Message,
Backup,D:\Filiolae Evidence\Verify Pass.png,67770,Success,2026-08-13 09:41:31,2017,2026-08-12 08:42:41,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\MSP360-AWS-B2-CHECKLIST.md,1674,Success,2026-08-13 09:41:31,2017,2026-08-11 22:45:26,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\PACKAGE-SHA256SUMS,1690,Success,2026-08-13 09:41:31,2017,2026-08-11 22:51:52,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\PACKAGE-SHA256SUMS.sha256,170,Success,2026-08-13 09:41:31,2017,2026-08-11 22:51:52,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\README-FIRST.md,1034,Success,2026-08-13 09:41:31,2017,2026-08-11 22:42:26,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\UPLOAD-ATTESTATION.template.json,442,Success,2026-08-13 09:41:31,2017,2026-08-11 22:42:26,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\VERIFY-PRESERVATION.ps1,874,Success,2026-08-13 09:41:31,2017,2026-08-11 22:51:52,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\VERIFY-PRESERVATION.sh,426,Success,2026-08-13 09:41:31,2017,2026-08-11 22:45:16,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\artifacts\anchor-public.pem,186,Success,2026-08-13 09:41:31,2017,2026-08-11 12:42:38,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\artifacts\payload-9bbad47-r18.tar.gz,27844638,Success,2026-08-13 09:41:31,2017,2026-08-11 20:31:18,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\artifacts\payload-9bbad47-r18.tar.gz.sha256,170,Success,2026-08-13 09:41:31,2017,2026-08-11 20:31:18,,
Backup,D:\Filiolae Evidence\Filiolae-r18-preservation\artifacts\prime-a6000-20260811-r18-happy.tar,4702379686,Success,2026-08-13 09:41:31,2017,2026-08-11 21:03:52,,
